ID	seq_adult_cj_1	seq_adult_cj_2	seq_adult_cj_3	seq_adult_cj_4	seq_adult_cj_5	seq_adult_cj_6	seq_adult_cj_7	seq_adult_cj_8	seq_adult_cj_9	seq_adult_cj_10	seq_adult_cj_11	seq_adult_cj_12	seq_adult_cj_13	seq_adult_cj_14	seq_adult_cj_15
1001	5	1	1	1	5	1	1	5	1	1	1	5	1	1	5
1002	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1003	5	1	2	1	5	1	1	4	1	1	1	5	1	1	5
1004	4	1	1	1	5	1	1	4	1	1	1	4	1	1	4
1006	4	1	2	1	3	1	1	4	1	1	1	3	1	1	4
1007	4	2	3	3	3	2	2	4	2	2	3	3	2	2	3
1009	5	1	2	2	5	2	1	4	2	1	2	4	2	1	4
1010	3	1	2	2	3	3	1	4	4	1	2	4	2	1	2
1011	4	1	2	1	3	2	1	4	3	1	1	3	2	1	3
1012	4	1	1	2	4	1	1	4	1	1	1	3	1	1	4
1013	3	1	2	1	3	1	1	4	2	1	2	5	1	1	3
1015	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1016	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1019	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1021	4	1	3	3	2	1	1	4	1	1	1	4	1	1	3
1240	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1242	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1243	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1244	3	1	3	1	3	3	1	3	1	1	1	3	3	1	4
1245	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1247	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1248	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1249	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1251	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1253	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1255	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1276	4	1	3	1	4	2	1	3	2	1	1	3	1	1	4
1282	4	1	1	1	4	1	1	5	1	1	1	5	1	1	4
1286	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1294	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1300	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1301	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1302	3	1	1	1	4	1	1	4	1	1	1	4	1	1	4
1303	3	1	2	2	3	2	1	3	1	1	2	4	1	1	4
3101	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3116	4	1	3	1	4	1	1	5	2	1	1	5	2	1	4
3122	4	2	3	1	4	3	1	4	1	1	1	1	1	1	4
3125	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3140	5	1	2	2	5	3	1	3	3	1	2	4	3	1	4
3143	3	1	1	1	3	1	2	4	1	1	1	4	1	1	3
3146	3	2	3	2	4	2	1	3	2	3	1	4	2	1	3
3152	4	2	2	2	4	3	2	2	3	1	1	3	3	2	4
3164	4	2	2	1	4	1	1	5	2	1	1	5	2	1	5
3166	4	2	3	1	3	3	2	3	3	1	1	2	3	1	2
3167	4	1	2	2	5	3	1	4	1	1	1	4	1	1	4
3170	4	1	1	1	4	1	1	4	1	1	1	4	1	1	4
3173	4	2	3	2	3	2	2	3	2	1	1	4	2	1	4
3175	4	2	2	2	4	3	2	4	1	1	1	4	1	1	4
3176	3	1	1	1	1	1	1	3	1	1	1	4	1	1	3
3186	4	1	2	1	4	1	1	3	3	1	1	4	2	1	4
3189	4	3	1	5	4	1	3	3	1	1	1	3	1	1	3
3190	5	1	1	2	3	1	1	3	1	1	1	4	1	1	3
3199	4	1	1	1	4	1	1	3	1	1	1	3	1	1	3
3200	4	2	3	2	4	1	1	4	1	1	1	4	1	1	4
3206	3	2	2	1	3	4	1	3	3	1	1	3	3	1	3
3210	4	1	1	1	4	2	1	4	1	1	1	4	1	1	3
3212	3	1	2	1	5	1	1	5	2	1	1	4	1	1	5
3218	3	1	1	3	3	2	3	3	2	4	3	4	3	4	4
3220	3	1	3	2	4	1	1	4	1	1	1	4	1	1	3
3223	3	1	4	2	3	4	2	3	4	1	4	3	4	1	3
