ID	pnr_q1	pnr_q2	pnr_q3	pnr_q4	pnr_q5	pnr_q6	pnr_q7	pnr_q8	pnr_q9
1001	1	1	4	1	2	3	4	4	4
1002	2	3	2	2	3	2	2	2	3
1003	2	2	5	3	2	2	5	5	3
1004	1	1	2	2	1	1	2	1	1
1006	2	2	3	2	3	1	2	3	4
1007	2	3	3	3	2	3	2	2	4
1009	1	2	2	1	1	2	1	1	2
1010	3	4	4	2	2	4	5	2	5
1011	2	1	2	3	4	1	5	5	5
1012	1	1	1	1	1	1	1	1	1
1013	2	2	3	1	2	1	3	2	4
1015	1	2	4	2	1	1	1	2	4
1016	3	3	4	3	4	4	4	5	4
1018	1	2	2	3	2	2	2	2	3
1019	2	2	3	3	4	2	4	3	3
1021	2	5	5	2	2	2	1	5	5
1240	1	2	3	1	1	1	3	2	2
1242	2	4	2	2	4	4	2	4	5
1243	1	1	1	2	1	1	1	1	2
1244	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1245	2	3	4	2	2	2	2	3	2
1247	1	1	2	1	1	1	2	4	3
1248	2	5	5	4	4	4	4	2	4
1249	1	2	4	2	2	4	2	2	4
1251	1	3	3	3	3	3	3	3	2
1253	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1255	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1276	3	4	4	2	1	3	2	3	4
1282	1	1	2	1	1	1	2	3	1
1286	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1294	1	1	1	1	1	1	1	1	1
1300	4	3	3	4	3	2	2	2	4
1301	3	4	4	3	2	2	2	3	2
1302	1	1	2	3	2	4	3	4	4
1303	1	4	4	2	2	2	2	4	4
3101	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3116	1	3	2	1	1	1	3	4	3
3122	1	1	1	1	1	1	1	1	1
3125	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3140	1	2	4	2	2	2	2	3	3
3143	1	2	3	1	1	1	4	3	3
3146	3	2	4	4	3	4	4	4	5
3152	3	4	3	3	3	3	3	3	3
3164	4	4	5	5	5	5	4	5	4
3166	4	4	2	4	4	4	4	4	2
3167	3	4	4	3	4	4	5	5	5
3170	1	1	3	3	2	1	5	4	5
3173	3	2	1	3	4	4	5	4	4
3175	2	2	3	4	5	3	3	5	4
3176	1	1	1	1	1	1	1	1	1
3178	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3186	3	4	4	3	3	2	2	2	3
3189	1	1	1	1	1	1	1	1	1
3190	1	2	4	2	1	2	3	2	2
3199	2	2	1	1	1	2	4	3	3
3200	2	3	3	2	2	3	4	3	4
3206	2	5	2	1	4	2	1	4	2
3210	5	5	5	5	5	5	2	4	5
3212	1	1	3	1	1	1	3	1	3
3218	2	2	3	2	3	3	2	2	3
3220	1	4	2	2	2	2	4	4	3
3223	1	5	4	3	3	3	3	4	4
