ID	iri_q1	iri_q2	iri_q3	iri_q4	iri_q5	iri_q6	iri_q7	iri_q8	iri_q9	iri_q10	iri_q11	iri_q12	iri_q13	iri_q14	iri_q15	iri_q16	iri_q17	iri_q18	iri_q19	iri_q20	iri_q21	iri_q22	iri_q23	iri_q24	iri_q25	iri_q26	iri_q27	iri_q28
1019	2	3	1	2	4	1	1	2	4	2	3	0	1	0	2	3	2	0	3	3	2	3	2	0	2	3	1	2
1021	0	0	0	0	0	0	0	3	3	3	3	3	1	3	3	0	3	0	2	0	3	3	0	0	3	0	0	3
1240	4	3	2	0	1	2	3	2	1	3	3	2	2	1	3	1	1	2	0	2	2	3	1	1	2	1	0	3
1242	3	4	2	1	0	3	2	3	3	4	3	4	0	0	3	0	3	1	2	3	3	3	0	0	1	0	1	2
1243	2	2	3	1	3	3	1	3	3	2	2	1	1	1	2	2	3	0	2	2	3	3	3	1	2	3	2	2
1244	2	4	0	0	1	1	1	3	4	1	3	1	2	1	1	0	0	0	4	3	3	2	2	0	2	1	0	1
1245	3	3	3	3	3	1	1	2	3	3	3	0	2	1	1	3	3	1	3	3	2	2	3	0	1	1	1	3
1247	3	2	0	1	3	4	0	4	4	1	3	0	3	0	0	2	1	0	3	2	3	2	4	1	2	3	1	3
1248	4	1	4	3	3	1	1	4	4	4	3	0	1	3	2	4	4	1	2	1	3	2	4	1	1	4	1	3
1249	2	3	1	1	1	1	2	2	3	3	3	2	3	1	2	1	1	0	3	2	1	3	2	1	2	3	1	3
1251	0	3	1	1	1	1	3	3	2	1	3	2	4	1	0	2	1	2	4	1	4	2	3	0	3	3	0	3
1253	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1255	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1276	4	1	4	4	1	0	2	3	2	3	1	2	4	4	4	1	3	1	4	0	2	1	0	0	0	0	0	0
1282	4	3	0	0	4	4	0	3	4	2	4	0	3	0	1	0	1	1	4	4	4	4	3	0	3	3	0	2
1286	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1294	3	4	0	0	2	2	3	4	3	1	4	1	3	0	1	0	2	0	3	4	4	4	3	1	4	4	1	4
1300	2	1	0	0	2	2	2	4	4	2	3	4	2	2	2	2	1	2	3	3	4	3	3	3	3	3	2	3
1301	3	1	0	0	3	1	0	3	3	1	3	0	2	1	2	1	1	0	3	2	3	4	2	1	3	3	0	2
1302	3	1	2	1	2	1	1	1	1	3	3	1	2	3	3	3	1	3	3	2	1	1	3	1	1	3	1	3
1303	3	2	1	1	2	4	2	3	3	4	3	1	1	1	2	3	4	0	1	2	3	3	2	1	3	3	1	3
3101	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3116	3	3	1	2	4	2	1	4	3	2	4	1	2	1	2	3	3	0	1	3	4	4	4	2	3	4	2	3
3122	4	4	0	1	4	2	0	0	4	4	4	0	2	0	0	4	4	4	4	4	4	4	3	0	1	4	1	4
3125	4	2	2	3	4	4	0	2	1	3	2	0	0	1	2	4	3	1	1	4	1	3	4	4	1	4	2	2
3140	4	4	2	4	3	1	0	3	3	4	3	0	1	0	1	4	3	4	3	4	2	3	3	0	3	4	4	2
3143	0	0	0	0	0	0	0	4	4	0	4	2	2	1	0	0	1	0	2	2	2	4	0	0	4	2	2	4
3146	2	2	1	1	3	2	1	3	3	4	3	3	1	1	3	2	3	1	2	3	3	4	3	2	1	2	2	3
3152	3	4	2	2	1	4	2	2	3	2	2	2	3	0	3	2	3	1	4	3	1	4	2	1	1	2	0	1
3164	4	4	3	0	4	3	0	1	4	1	3	2	0	0	3	3	1	0	3	4	3	3	4	1	3	4	3	1
3166	3	0	3	1	2	1	1	1	1	1	2	1	3	3	3	2	3	3	3	1	1	2	3	0	0	3	1	1
3167	3	3	2	3	3	2	3	3	3	1	3	0	3	3	1	3	2	1	3	2	3	3	3	0	2	3	1	3
3170	4	4	0	0	3	3	0	2	3	3	3	1	2	1	3	3	3	0	1	3	3	3	2	2	3	3	2	3
3173	4	3	1	3	2	3	0	3	3	1	3	0	0	2	3	2	1	0	3	3	4	1	3	1	1	3	3	3
3175	3	3	1	3	1	2	4	3	3	1	3	3	4	3	1	0	1	3	3	1	3	1	1	1	2	1	1	3
3176	1	2	0	0	3	1	1	4	3	1	4	0	2	0	0	1	2	0	3	2	4	4	1	0	4	3	0	4
3178	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3186	3	3	2	3	3	3	0	2	3	4	2	1	1	1	3	3	3	0	3	4	2	4	3	4	1	3	3	1
3189	3	3	1	1	3	2	1	4	4	2	3	0	3	1	1	1	1	0	2	2	2	4	2	1	2	2	2	1
3190	4	3	0	1	0	0	1	4	3	4	3	1	0	0	0	0	4	0	0	0	4	4	4	3	2	1	3	4
3199	2	1	0	1	1	2	1	3	3	2	3	2	3	1	3	3	3	3	1	2	3	4	3	4	3	0	2	3
3200	3	2	1	3	1	3	4	3	2	4	3	2	0	2	2	3	2	1	1	0	2	3	2	0	2	4	1	3
3206	2	4	2	1	0	1	1	3	4	2	2	3	3	1	4	0	3	0	3	3	2	3	2	1	3	3	0	2
3210	1	0	0	3	1	2	1	4	4	3	4	1	3	3	3	0	0	3	4	1	3	1	2	2	3	3	0	1
3212	2	4	0	0	4	3	0	4	3	2	4	1	1	1	1	3	1	0	2	3	3	3	3	1	3	3	2	3
3218	4	4	0	2	2	1	1	3	4	4	4	1	1	2	0	3	4	1	1	3	4	3	1	2	4	2	1	1
3220	3	4	1	0	2	2	2	3	4	3	4	3	3	1	2	1	1	0	3	2	3	4	3	1	3	4	1	4
3223	4	3	0	4	3	3	1	3	3	3	4	0	3	1	3	4	2	0	3	3	3	3	4	1	3	3	2	3
