ID	iri_q1	iri_q2	iri_q3	iri_q4	iri_q5	iri_q6	iri_q7	iri_q8	iri_q9	iri_q10	iri_q11	iri_q12	iri_q13	iri_q14	iri_q15	iri_q16	iri_q17	iri_q18	iri_q19	iri_q20	iri_q21	iri_q22	iri_q23	iri_q24	iri_q25	iri_q26	iri_q27	iri_q28
1001	3	4	1	2	4	2	0	3	4	4	4	0	1	1	3	4	4	0	1	3	2	4	1	2	3	1	2	3
1002	4	2	1	2	2	2	1	2	3	3	2	0	1	2	1	2	3	1	2	1	4	2	3	1	2	4	1	2
1003	4	4	2	0	4	2	0	2	4	4	4	0	1	0	0	0	2	0	2	4	2	4	2	1	1	4	2	2
1004	3	3	0	0	3	3	4	4	2	4	4	1	2	0	0	0	0	0	3	3	3	4	1	1	1	1	1	1
1006	4	3	1	2	1	3	2	3	3	4	3	3	2	3	1	1	3	1	1	3	4	3	3	2	3	3	1	3
1007	3	3	1	2	3	2	1	3	3	3	2	2	3	1	3	1	3	1	2	2	2	3	2	1	2	1	2	2
1009	3	3	1	1	2	1	1	3	3	3	4	1	2	1	1	1	2	1	3	4	3	4	2	1	3	3	1	3
1010	4	0	2	1	0	1	3	4	1	4	2	1	4	2	4	0	4	3	4	1	3	0	1	0	2	0	1	3
1011	2	3	1	3	4	4	1	4	1	3	2	0	3	4	2	4	4	2	1	4	4	4	2	1	0	4	0	4
1012	3	4	1	0	3	2	1	3	3	2	4	0	3	0	0	1	2	0	3	3	4	4	3	1	3	3	1	3
1013	2	2	1	3	1	3	1	3	2	3	2	2	1	3	3	1	3	3	3	1	4	2	1	1	3	1	1	2
1015	3	4	0	1	3	1	1	4	4	1	4	0	3	1	2	3	1	0	3	3	4	3	3	0	3	3	0	3
1016	0	3	1	3	2	2	3	3	3	3	3	1	3	3	3	1	2	1	3	2	4	2	0	2	1	0	0	3
1018	2	3	2	4	4	2	1	3	4	4	3	0	0	0	1	3	3	0	4	3	2	3	3	1	1	3	1	2
