ID	ios_f
1001	5
1002	5
1003	4
1004	3
1006	4
1007	5
1009	5
1010	6
1011	7
1012	5
1013	4
1015	4
1016	2
1018	6
1019	3
1021	6
1240	4
1242	6
1243	4
1244	5
1245	4
1247	5
1248	4
1249	7
1251	3
1253	6
1255	4
1276	4
1282	5
1286	6
1294	5
1300	5
1301	6
1302	7
1303	6
3101	n/a
3116	6
3122	6
3125	5
3140	7
3143	4
3146	2
3152	6
3164	4
3166	4
3167	4
3170	7
3173	3
3175	n/a
3176	5
3178	6
3186	5
3189	4
3190	3
3199	4
3200	6
3206	4
3210	2
3212	4
3218	3
3220	5
3223	n/a
