ID	score_teps_q1	score_teps_q2	score_teps_q3	score_teps_q4	score_teps_q5	score_teps_q6	score_teps_q7	score_teps_q8	score_teps_q9	score_teps_q10	score_teps_q11	score_teps_q12	score_teps_q13	score_teps_q14	score_teps_q15	score_teps_q16	score_teps_q17	score_teps_q18
1001	6	2	3	4	4	3	6	6	4	4	5	6	6	6	6	6	6	6
1002	6	6	5	5	5	6	4	4	5	5	5	4	2	6	4	4	4	5
1003	5	5	1	4	4	4	6	4	4	5	6	2	6	6	4	4	6	6
1004	5	6	5	6	6	6	6	2	5	2	5	4	5	6	6	6	6	6
1006	4	6	6	3	5	5	2	6	2	2	4	4	2	5	2	2	5	3
1007	5	6	5	5	4	5	5	4	5	5	4	4	5	5	5	4	4	5
1009	6	5	5	6	6	6	5	2	6	5	5	5	6	6	5	5	6	6
1010	2	4	3	2	2	4	1	4	5	1	4	1	2	3	2	2	4	4
1011	6	5	1	5	4	4	5	1	6	4	5	6	6	5	5	3	6	6
1012	4	2	2	6	5	6	6	5	6	2	5	1	6	5	4	4	6	6
1013	5	6	5	5	5	6	5	4	6	5	5	3	5	4	4	5	5	6
1015	4	5	6	5	5	4	6	3	6	6	6	6	6	6	3	5	6	5
1016	5	6	6	6	6	6	6	6	6	3	3	4	6	6	6	6	6	6
1018	3	5	5	6	6	4	2	5	4	3	3	5	5	4	5	4	4	4
1019	5	6	6	4	3	5	6	4	6	4	5	6	5	5	5	5	6	6
1021	3	5	5	2	2	2	3	2	4	2	2	2	2	5	2	2	4	2
1240	3	6	6	5	5	5	4	2	5	4	5	3	5	4	2	3	4	5
1242	3	6	6	1	4	4	6	4	5	2	4	4	5	6	5	5	6	4
1243	4	6	6	4	5	6	6	4	6	4	3	4	5	5	3	4	6	5
1244	6	6	4	6	6	6	6	4	6	5	6	2	6	6	3	4	6	6
1245	6	6	5	5	5	5	6	5	5	4	5	5	6	6	5	5	6	5
1247	5	6	6	5	6	6	6	3	6	4	5	6	5	6	5	5	6	6
1248	6	6	6	5	4	6	6	6	6	3	5	6	6	6	6	6	6	6
1249	5	6	5	6	5	6	6	6	6	5	5	5	5	6	6	6	6	6
1251	2	5	4	5	4	4	4	1	5	2	3	4	4	5	4	4	4	5
1253	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1255	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1276	3	5	5	5	5	6	1	5	5	6	6	4	5	5	5	5	5	6
1282	4	6	6	5	6	5	6	2	6	6	6	6	6	6	5	4	6	6
1286	3	6	6	6	5	6	6	1	6	4	4	2	6	6	6	6	6	6
1294	4	5	5	6	6	5	1	5	5	4	5	5	5	6	6	6	6	5
1300	6	6	6	4	6	6	6	2	6	3	6	2	4	6	6	4	6	6
1301	6	4	5	4	6	4	6	5	6	4	4	2	5	1	4	5	6	5
1302	6	6	6	4	2	4	6	6	6	6	5	4	5	6	6	6	6	5
1303	4	5	5	2	5	4	4	3	6	4	2	2	4	6	3	4	5	4
3101	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3116	6	6	5	6	4	5	6	4	5	5	5	4	6	6	5	6	6	6
3122	6	5	6	6	6	6	3	2	5	6	6	6	6	6	6	6	6	6
3125	6	5	5	5	6	6	4	3	4	5	5	6	6	3	6	6	6	5
3140	6	4	3	5	6	4	5	5	5	6	6	4	6	5	5	5	5	6
3143	4	6	6	5	6	6	4	6	6	6	6	6	5	5	5	6	4	6
3146	6	6	5	4	4	4	4	3	4	4	5	2	5	6	5	5	5	4
3152	5	5	6	6	3	5	6	3	4	4	4	3	6	6	5	6	6	6
3164	6	6	6	6	6	6	4	4	6	4	6	5	5	6	6	6	6	6
3166	5	4	4	5	4	5	5	4	5	4	5	5	5	5	5	4	5	5
3167	6	6	6	5	4	5	6	4	6	5	5	5	5	6	4	5	6	5
3170	6	4	5	4	5	5	5	3	4	5	3	5	3	6	5	5	5	5
3173	6	6	3	4	5	5	1	6	4	6	5	6	5	1	5	6	3	5
3175	4	5	3	4	3	4	5	4	5	4	4	4	5	5	4	4	5	5
3176	5	6	5	5	4	5	2	5	6	1	2	4	6	6	5	6	5	6
3178	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3186	5	5	1	5	4	6	3	5	5	6	6	4	6	5	5	5	6	6
3189	5	5	5	2	4	4	4	4	5	3	4	4	4	5	4	5	4	4
3190	1	6	5	4	3	1	6	5	6	1	1	4	1	1	4	1	4	1
3199	5	5	6	4	2	4	3	6	5	5	5	2	6	6	4	6	4	5
3200	4	5	4	5	5	5	4	5	6	6	4	4	1	5	4	3	5	4
3206	6	6	4	5	2	5	6	6	6	5	5	6	6	6	5	4	5	6
3210	5	5	4	5	5	6	1	4	5	5	5	4	6	4	5	5	4	6
3212	5	5	4	4	3	6	6	6	6	6	5	5	6	5	4	5	5	5
3218	6	6	6	6	6	6	1	1	6	1	5	5	6	1	4	6	1	6
3220	5	6	6	4	2	6	6	5	6	2	4	5	5	2	5	5	1	6
3223	6	5	2	4	5	5	5	6	5	4	5	4	5	6	5	5	5	6
