ID	spsrq_1	spsrq_2	spsrq_3	spsrq_4	spsrq_5	spsrq_6	spsrq_7	spsrq_8	spsrq_9	spsrq_10	spsrq_11	spsrq_12	spsrq_13	spsrq_14	spsrq_15	spsrq_16	spsrq_17	spsrq_18	spsrq_19	spsrq_20	spsrq_21	spsrq_22	spsrq_23	spsrq_24	spsrq_25	spsrq_26	spsrq_27	spsrq_28	spsrq_29	spsrq_30	spsrq_31	spsrq_32	spsrq_33	spsrq_34	spsrq_35	spsrq_36	spsrq_37	spsrq_38	spsrq_39	spsrq_40	spsrq_41	spsrq_42	spsrq_43	spsrq_44	spsrq_45	spsrq_46	spsrq_47	spsrq_48
1001	1	1	1	1	1	0	1	0	0	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1	0	1	0	0	0	1	0	0	0	1	0
1002	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	0
1003	1	1	1	1	0	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	1	1	0	1	0	0	1	1	0	1	0	1	0	1	0	1	0	0	0	0	1	1	0
1004	1	1	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	1	0	0	0	1	0	1
1006	1	1	0	1	1	1	0	0	1	0	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	1	0	0
1007	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	0	1	1	0
1009	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	0	1	0	0	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	0
1010	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	1	0	1	1	1	0	0
1011	1	1	0	1	1	1	0	1	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	0	0	0	1	1	1	1	1	1	0	1	1	0	0	0	0	1	0	1	1	1	0
1012	1	0	1	1	0	1	0	0	1	0	1	0	1	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0
1013	1	1	1	1	1	0	1	0	1	1	0	1	0	1	0	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	1	0	0	1	0
1015	1	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0
1016	1	1	0	1	1	0	0	1	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0
1018	1	1	0	1	0	1	0	1	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	1	1	1	0	1	1	1	0	1	0	1	0	1	0	0	0	1	0	1	0	1	0	0
1019	1	1	1	1	0	1	1	0	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	1	1	0	0	1
1021	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	0	1	0	0	1	1	1	0
1240	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0
1242	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	0	0	1	0
1243	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0
1244	0	1	0	1	0	1	0	1	0	1	1	1	1	1	0	1	0	1	0	1	1	1	1	0	1	0	1	0	0	0	1	1	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0
1245	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0	0	1	1	0	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0
1247	1	0	0	1	1	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	0	0
1248	1	1	1	1	1	0	0	0	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	0	1	1	1	1	0	0	1	1	1
1249	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	0	0	1	1	0	1	1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	0	1	0	1	0	0	1	1	0
1251	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0
1253	0	0	1	1	0	1	0	0	0	1	0	1	1	1	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	1	1	1
1255	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0
1276	1	1	0	1	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0
1282	0	1	0	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	1	1	0	0	1	1	1	0
1286	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	0	0	0	0	1	1	0	1	0	0	1	1	0	1	1	0	1	1	0	0	1	0	1	0	1	0	1	1
1294	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0
1300	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	1	1	0	1	0	0	1	1	0	0	1	0	0	0	1	1	1	1
1301	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	1	0	1	0	1	0	0	1	1	0	1	0	1	1	1	0	1	1	1	0	0	1	0	0	1	0
1302	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0
1303	0	0	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	0	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0
3101	1	1	0	1	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	n/a	0	1	1	1	1	1	0	1	0	0	0	1	0	1	0	1	0	1	1
3116	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	0
3122	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	1	1	0	0	1	0	0	1	1	0	0	1	0	1	1	1	1	0	0	0	0	0	1	0	1	1	1	1	1	1	1
3125	0	1	0	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	1
3140	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	1	0	0	1	0	0	1	1	0	1	1	1	0	0	0	1	0	1	1	0	0	1	1	1	1	0	0	1	0	0	0	1	0
3143	1	0	1	1	1	0	0	1	0	1	0	1	1	0	1	1	0	0	0	0	0	1	1	0	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	0
3146	1	1	1	1	1	0	1	0	1	0	1	0	1	1	0	1	1	0	1	0	1	1	1	0	1	1	0	0	0	1	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1
3152	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0
3164	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
3166	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	1	1	1	0	1	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0
3167	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0
3170	1	1	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0	1	0
3173	1	1	1	0	0	1	1	0	1	0	1	0	1	0	1	0	1	1	0	0	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0
3175	1	1	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0
3176	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	n/a	0	0	0	0	1	1	0	1	0	0
3178	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	0	n/a	1	1	0	0	0	1	0	1	1	0	0	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0
3186	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0
3189	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	0	0	0
3190	0	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0	0	1	1
3199	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	1	0	0	1	0	1	1	1	0
3200	1	0	1	1	1	1	1	0	1	1	0	0	1	0	0	0	1	0	1	0	1	0	1	0	1	1	0	0	1	1	1	0	1	0	1	1	1	1	1	0	0	0	0	1	0	0	1	0
3206	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	0	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	1	0
3210	0	1	0	1	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	1
3212	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0
3218	0	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1	0
3220	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	0	1	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	0	0	1	0	0	1	0
3223	1	1	1	1	0	0	0	0	1	1	0	1	1	1	0	0	1	0	1	0	0	1	1	0	1	1	0	0	0	1	1	1	1	1	0	0	1	1	0	0	0	0	1	0	1	1	1	0
