ID	ios_computer
1001	1
1002	n/a
1003	n/a
1004	2
1006	2
1007	n/a
1009	1
1010	n/a
1011	n/a
1012	1
1013	2
1015	n/a
1016	n/a
1018	n/a
1019	n/a
1021	1
1240	1
1242	1
1243	1
1244	1
1245	1
1247	2
1248	2
1249	5
1251	n/a
1253	2
1255	n/a
1276	1
1282	2
1286	1
1294	1
1300	4
1301	n/a
1302	2
1303	n/a
3101	n/a
3116	1
3122	n/a
3125	2
3140	1
3143	n/a
3146	n/a
3152	5
3164	1
3166	n/a
3167	4
3170	1
3173	3
3175	n/a
3176	n/a
3178	n/a
3186	1
3189	4
3190	2
3199	n/a
3200	4
3206	4
3210	n/a
3212	n/a
3218	n/a
3220	5
3223	n/a
