ID	bisbas_1	bisbas_2	bisbas_3	bisbas_4	bisbas_5	bisbas_6	bisbas_7	bisbas_8	bisbas_9	bisbas_10	bisbas_11	bisbas_12	bisbas_13	bisbas_14	bisbas_15	bisbas_16	bisbas_17	bisbas_18	bisbas_19	bisbas_20
1001	3	2	4	4	4	4	4	4	4	4	4	1	1	4	4	4	1	1	4	4
1002	1	2	3	2	3	4	2	3	3	4	3	2	3	3	4	3	2	1	3	4
1003	2	4	4	3	4	2	4	4	4	2	2	2	3	4	4	4	3	2	3	4
1004	2	3	4	4	3	2	2	3	2	3	3	2	2	3	3	4	2	3	4	4
1006	1	2	4	4	4	4	2	3	2	4	3	2	3	3	3	4	1	2	3	3
1007	2	3	3	3	3	3	2	3	3	4	3	2	3	3	3	4	2	2	3	3
1009	1	3	4	3	4	3	3	3	2	4	3	2	3	4	4	3	2	2	4	4
1010	3	3	2	4	1	2	4	3	2	3	1	4	4	2	3	4	3	3	4	3
1011	2	2	4	4	4	4	2	2	2	4	3	2	3	4	4	4	2	2	4	4
1012	2	2	4	3	3	4	3	2	2	4	2	2	3	3	4	2	2	2	3	4
1013	2	3	4	4	4	4	3	3	2	4	3	2	3	4	3	2	3	2	4	3
1015	2	2	3	4	3	3	2	3	3	2	2	3	2	2	3	3	2	2	3	3
1016	2	3	3	3	4	2	3	3	3	2	3	3	3	3	3	3	3	3	3	3
1018	2	4	3	4	3	2	3	4	3	3	4	2	2	4	4	4	3	3	4	2
1019	2	3	4	3	4	4	4	2	3	4	3	2	2	3	3	3	2	3	3	3
1021	1	3	4	4	2	3	4	2	4	1	3	1	2	1	3	2	4	1	3	3
1240	1	4	4	4	4	4	4	4	4	4	4	4	3	3	4	4	3	1	3	4
1242	1	3	4	3	4	4	3	3	3	4	3	2	3	4	4	3	2	2	3	4
1243	1	3	4	3	3	3	3	2	2	4	3	1	3	3	4	3	2	2	3	4
1244	1	3	4	4	4	3	3	4	4	2	4	3	3	4	3	4	3	4	4	3
1245	2	3	3	3	3	4	2	3	3	4	3	2	2	3	3	3	2	3	3	3
1247	1	3	4	3	3	2	3	3	2	4	4	3	4	3	4	4	3	4	3	3
1248	3	1	4	2	4	3	2	3	3	4	4	1	2	4	4	4	3	4	4	4
1249	2	3	3	3	4	2	3	3	3	2	3	3	3	3	3	3	2	2	4	3
1251	2	2	3	n/a	3	3	1	2	1	3	2	1	2	2	3	2	1	2	3	3
1253	2	3	3	4	4	3	3	3	3	3	3	2	2	3	3	3	3	3	3	3
1255	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	3	3
1276	1	3	4	3	4	4	3	2	3	4	4	1	3	3	3	1	2	1	3	3
1282	2	4	4	4	4	2	2	4	2	4	3	2	3	3	4	3	2	2	4	2
1286	2	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	2	3	3
1294	2	3	4	4	4	2	2	2	2	4	3	2	3	3	4	3	2	2	3	4
1300	2	3	3	3	2	2	3	2	2	2	3	3	2	3	3	2	2	2	2	3
1301	1	2	3	3	4	1	3	3	3	3	3	2	2	3	3	4	2	2	3	3
1302	2	4	4	4	4	3	4	2	4	2	4	2	3	4	4	4	3	3	4	4
1303	2	3	4	3	3	4	2	2	3	4	3	2	3	3	3	4	2	2	3	3
3101	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3
3116	2	4	4	3	3	3	3	3	3	4	3	2	3	3	3	3	3	2	4	3
3122	1	3	3	3	3	3	3	3	2	4	4	3	3	3	3	3	4	2	3	3
3125	1	3	4	4	4	4	3	3	3	4	3	3	4	4	3	3	3	1	4	3
3140	1	3	3	3	4	3	2	4	3	4	2	2	4	3	3	3	2	1	3	3
3143	1	2	4	4	4	4	2	2	2	4	3	1	4	4	3	3	2	1	4	4
3146	1	3	3	3	3	3	3	4	3	3	3	3	3	3	4	4	3	2	3	4
3152	1	4	4	4	4	4	3	3	3	4	3	2	3	3	3	3	3	1	3	4
3164	1	4	4	4	4	3	4	4	4	3	4	4	3	4	4	4	3	3	4	3
3166	2	3	4	2	3	3	3	3	3	2	3	2	2	2	2	2	3	4	3	2
3167	2	2	3	4	4	3	3	2	3	2	3	2	3	3	2	3	2	4	3	3
3170	1	1	3	3	3	3	2	2	2	3	3	2	2	3	3	2	3	2	3	4
3173	2	4	3	4	3	2	3	4	3	2	3	4	3	3	3	3	2	4	4	4
3175	2	2	3	3	3	2	2	3	2	3	3	2	3	3	3	3	2	2	3	3
3176	1	3	3	4	3	3	3	2	3	4	3	2	3	3	3	2	2	2	3	3
3178	3	2	4	4	3	2	3	2	3	3	4	2	4	3	4	3	2	3	3	3
3186	2	4	4	4	4	4	4	3	3	4	4	4	3	4	4	4	3	2	4	4
3189	2	2	3	4	3	4	2	3	2	4	3	3	3	4	4	3	2	2	3	4
3190	1	3	4	4	4	3	2	4	2	2	3	3	1	4	3	4	2	1	4	2
3199	1	2	4	3	4	4	3	3	4	4	4	2	4	3	4	3	2	1	3	4
3200	2	4	4	3	3	1	3	4	2	3	3	1	2	2	4	2	1	2	3	3
3206	2	3	4	3	1	n/a	3	3	3	1	3	3	3	3	4	2	1	2	4	4
3210	2	3	4	4	4	2	4	2	3	3	3	2	4	3	4	3	2	2	4	4
3212	1	2	3	2	4	3	2	2	2	4	3	3	3	3	3	3	3	2	4	4
3218	2	2	4	3	4	3	2	2	2	4	3	4	4	3	4	3	1	1	4	4
3220	2	2	3	3	4	3	2	3	3	3	2	4	3	3	3	4	2	2	4	3
3223	2	3	4	3	3	3	3	2	3	3	3	2	3	3	3	3	2	3	3	3
