participant_id	iri_q1	iri_q2	iri_q3	iri_q4	iri_q5	iri_q6	iri_q7	iri_q8	iri_q9	iri_q10	iri_q11	iri_q12	iri_q13	iri_q14	iri_q15	iri_q16	iri_q17	iri_q18	iri_q19	iri_q20	iri_q21	iri_q22	iri_q23	iri_q24	iri_q25	iri_q26	iri_q27	iri_q28
sub-3189	3.0	3.0	1.0	1.0	3.0	2.0	1.0	4.0	4.0	2.0	3.0	0.0	3.0	1.0	1.0	1.0	1.0	0.0	2.0	2.0	2.0	4.0	2.0	1.0	2.0	2.0	2.0	1.0
sub-3190	4.0	3.0	0.0	1.0	0.0	0.0	1.0	4.0	3.0	4.0	3.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	4.0	4.0	3.0	2.0	1.0	3.0	4.0
sub-3199	2.0	1.0	0.0	1.0	1.0	2.0	1.0	3.0	3.0	2.0	3.0	2.0	3.0	1.0	3.0	3.0	3.0	3.0	1.0	2.0	3.0	4.0	3.0	4.0	3.0	0.0	2.0	3.0
sub-3200	3.0	2.0	1.0	3.0	1.0	3.0	4.0	3.0	2.0	4.0	3.0	2.0	0.0	2.0	2.0	3.0	2.0	1.0	1.0	0.0	2.0	3.0	2.0	0.0	2.0	4.0	1.0	3.0
sub-3206	2.0	4.0	2.0	1.0	0.0	1.0	1.0	3.0	4.0	2.0	2.0	3.0	3.0	1.0	4.0	0.0	3.0	0.0	3.0	3.0	2.0	3.0	2.0	1.0	3.0	3.0	0.0	2.0
sub-3210	1.0	0.0	0.0	3.0	1.0	2.0	1.0	4.0	4.0	3.0	4.0	1.0	3.0	3.0	3.0	0.0	0.0	3.0	4.0	1.0	3.0	1.0	2.0	2.0	3.0	3.0	0.0	1.0
sub-3212	2.0	4.0	0.0	0.0	4.0	3.0	0.0	4.0	3.0	2.0	4.0	1.0	1.0	1.0	1.0	3.0	1.0	0.0	2.0	3.0	3.0	3.0	3.0	1.0	3.0	3.0	2.0	3.0
sub-3218	4.0	4.0	0.0	2.0	2.0	1.0	1.0	3.0	4.0	4.0	4.0	1.0	1.0	2.0	0.0	3.0	4.0	1.0	1.0	3.0	4.0	3.0	1.0	2.0	4.0	2.0	1.0	1.0
sub-3220	3.0	4.0	1.0	0.0	2.0	2.0	2.0	3.0	4.0	3.0	4.0	3.0	3.0	1.0	2.0	1.0	1.0	0.0	3.0	2.0	3.0	4.0	3.0	1.0	3.0	4.0	1.0	4.0
sub-3223	4.0	3.0	0.0	4.0	3.0	3.0	1.0	3.0	3.0	3.0	4.0	0.0	3.0	1.0	3.0	4.0	2.0	0.0	3.0	3.0	3.0	3.0	4.0	1.0	3.0	3.0	2.0	3.0
