participant_id	seq_adult_cj_1	seq_adult_cj_2	seq_adult_cj_3	seq_adult_cj_4	seq_adult_cj_5	seq_adult_cj_6	seq_adult_cj_7	seq_adult_cj_8	seq_adult_cj_9	seq_adult_cj_10	seq_adult_cj_11	seq_adult_cj_12	seq_adult_cj_13	seq_adult_cj_14	seq_adult_cj_15
sub-1001	5.0	1.0	1.0	1.0	5.0	1.0	1.0	5.0	1.0	1.0	1.0	5.0	1.0	1.0	5.0
sub-1002	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-1003	5.0	1.0	2.0	1.0	5.0	1.0	1.0	4.0	1.0	1.0	1.0	5.0	1.0	1.0	5.0
sub-1004	4.0	1.0	1.0	1.0	5.0	1.0	1.0	4.0	1.0	1.0	1.0	4.0	1.0	1.0	4.0
sub-1006	4.0	1.0	2.0	1.0	3.0	1.0	1.0	4.0	1.0	1.0	1.0	3.0	1.0	1.0	4.0
sub-1007	4.0	2.0	3.0	3.0	3.0	2.0	2.0	4.0	2.0	2.0	3.0	3.0	2.0	2.0	3.0
sub-1009	5.0	1.0	2.0	2.0	5.0	2.0	1.0	4.0	2.0	1.0	2.0	4.0	2.0	1.0	4.0
sub-1010	3.0	1.0	2.0	2.0	3.0	3.0	1.0	4.0	4.0	1.0	2.0	4.0	2.0	1.0	2.0
sub-1011	4.0	1.0	2.0	1.0	3.0	2.0	1.0	4.0	3.0	1.0	1.0	3.0	2.0	1.0	3.0
sub-1012	4.0	1.0	1.0	2.0	4.0	1.0	1.0	4.0	1.0	1.0	1.0	3.0	1.0	1.0	4.0
sub-1013	3.0	1.0	2.0	1.0	3.0	1.0	1.0	4.0	2.0	1.0	2.0	5.0	1.0	1.0	3.0
sub-1015	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-1016	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-1019	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-1021	4.0	1.0	3.0	3.0	2.0	1.0	1.0	4.0	1.0	1.0	1.0	4.0	1.0	1.0	3.0
sub-1240	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-1242	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-1243	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-1244	3.0	1.0	3.0	1.0	3.0	3.0	1.0	3.0	1.0	1.0	1.0	3.0	3.0	1.0	4.0
sub-1245	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-1247	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-1248	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-1249	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-1251	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-1253	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-1255	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-1276	4.0	1.0	3.0	1.0	4.0	2.0	1.0	3.0	2.0	1.0	1.0	3.0	1.0	1.0	4.0
sub-1282	4.0	1.0	1.0	1.0	4.0	1.0	1.0	5.0	1.0	1.0	1.0	5.0	1.0	1.0	4.0
sub-1286	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-1294	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-1300	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-1301	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-1302	3.0	1.0	1.0	1.0	4.0	1.0	1.0	4.0	1.0	1.0	1.0	4.0	1.0	1.0	4.0
sub-1303	3.0	1.0	2.0	2.0	3.0	2.0	1.0	3.0	1.0	1.0	2.0	4.0	1.0	1.0	4.0
sub-3101	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-3116	4.0	1.0	3.0	1.0	4.0	1.0	1.0	5.0	2.0	1.0	1.0	5.0	2.0	1.0	4.0
sub-3122	4.0	2.0	3.0	1.0	4.0	3.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0
sub-3125	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-3140	5.0	1.0	2.0	2.0	5.0	3.0	1.0	3.0	3.0	1.0	2.0	4.0	3.0	1.0	4.0
sub-3143	3.0	1.0	1.0	1.0	3.0	1.0	2.0	4.0	1.0	1.0	1.0	4.0	1.0	1.0	3.0
sub-3152	4.0	2.0	2.0	2.0	4.0	3.0	2.0	2.0	3.0	1.0	1.0	3.0	3.0	2.0	4.0
sub-3164	4.0	2.0	2.0	1.0	4.0	1.0	1.0	5.0	2.0	1.0	1.0	5.0	2.0	1.0	5.0
sub-3166	4.0	2.0	3.0	1.0	3.0	3.0	2.0	3.0	3.0	1.0	1.0	2.0	3.0	1.0	2.0
sub-3167	4.0	1.0	2.0	2.0	5.0	3.0	1.0	4.0	1.0	1.0	1.0	4.0	1.0	1.0	4.0
sub-3170	4.0	1.0	1.0	1.0	4.0	1.0	1.0	4.0	1.0	1.0	1.0	4.0	1.0	1.0	4.0
sub-3173	4.0	2.0	3.0	2.0	3.0	2.0	2.0	3.0	2.0	1.0	1.0	4.0	2.0	1.0	4.0
sub-3175	4.0	2.0	2.0	2.0	4.0	3.0	2.0	4.0	1.0	1.0	1.0	4.0	1.0	1.0	4.0
sub-3176	3.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	4.0	1.0	1.0	3.0
sub-3186	4.0	1.0	2.0	1.0	4.0	1.0	1.0	3.0	3.0	1.0	1.0	4.0	2.0	1.0	4.0
sub-3189	4.0	3.0	1.0	5.0	4.0	1.0	3.0	3.0	1.0	1.0	1.0	3.0	1.0	1.0	3.0
sub-3190	5.0	1.0	1.0	2.0	3.0	1.0	1.0	3.0	1.0	1.0	1.0	4.0	1.0	1.0	3.0
sub-3199	4.0	1.0	1.0	1.0	4.0	1.0	1.0	3.0	1.0	1.0	1.0	3.0	1.0	1.0	3.0
sub-3200	4.0	2.0	3.0	2.0	4.0	1.0	1.0	4.0	1.0	1.0	1.0	4.0	1.0	1.0	4.0
sub-3206	3.0	2.0	2.0	1.0	3.0	4.0	1.0	3.0	3.0	1.0	1.0	3.0	3.0	1.0	3.0
sub-3210	4.0	1.0	1.0	1.0	4.0	2.0	1.0	4.0	1.0	1.0	1.0	4.0	1.0	1.0	3.0
sub-3212	3.0	1.0	2.0	1.0	5.0	1.0	1.0	5.0	2.0	1.0	1.0	4.0	1.0	1.0	5.0
sub-3218	3.0	1.0	1.0	3.0	3.0	2.0	3.0	3.0	2.0	4.0	3.0	4.0	3.0	4.0	4.0
sub-3220	3.0	1.0	3.0	2.0	4.0	1.0	1.0	4.0	1.0	1.0	1.0	4.0	1.0	1.0	3.0
sub-3223	3.0	1.0	4.0	2.0	3.0	4.0	2.0	3.0	4.0	1.0	4.0	3.0	4.0	1.0	3.0
