participant_id	pvss_q1	pvss_q2	pvss_q3	pvss_q4	pvss_q5	pvss_q6	pvss_q7	pvss_q8	pvss_q9	pvss_q10	pvss_q11	pvss_q12	pvss_q13	pvss_q14	pvss_q15	pvss_q16	pvss_q17	pvss_q18	pvss_q19	pvss_q20	pvss_q21
sub-1001	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-1002	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-1003	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-1004	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-1006	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-1007	7.0	8.0	7.0	7.0	7.0	5.0	7.0	7.0	6.0	5.0	7.0	8.0	7.0	8.0	7.0	7.0	7.0	4.0	5.0	7.0	6.0
sub-1009	6.0	8.0	7.0	8.0	8.0	9.0	9.0	8.0	9.0	9.0	9.0	9.0	8.0	9.0	8.0	8.0	9.0	9.0	8.0	8.0	7.0
sub-1010	1.0	7.0	3.0	8.0	1.0	4.0	7.0	3.0	1.0	8.0	9.0	6.0	2.0	8.0	9.0	1.0	6.0	1.0	3.0	8.0	1.0
sub-1011	9.0	9.0	9.0	7.0	6.0	9.0	9.0	9.0	9.0	9.0	8.0	9.0	8.0	9.0	9.0	9.0	9.0	8.0	9.0	9.0	7.0
sub-1012	7.0	9.0	6.0	9.0	7.0	7.0	7.0	9.0	9.0	9.0	9.0	9.0	8.0	9.0	9.0	9.0	9.0	8.0	9.0	9.0	6.0
sub-1013	8.0	8.0	8.0	7.0	8.0	8.0	8.0	7.0	9.0	9.0	7.0	9.0	8.0	8.0	9.0	9.0	9.0	8.0	8.0	9.0	7.0
sub-1015	5.0	8.0	6.0	3.0	4.0	7.0	8.0	9.0	8.0	7.0	3.0	6.0	6.0	6.0	9.0	8.0	8.0	6.0	9.0	7.0	6.0
sub-1016	1.0	8.0	8.0	8.0	8.0	8.0	8.0	5.0	8.0	4.0	8.0	8.0	8.0	8.0	8.0	8.0	9.0	8.0	8.0	8.0	9.0
sub-1019	6.0	8.0	9.0	6.0	6.0	6.0	9.0	7.0	8.0	6.0	5.0	7.0	5.0	8.0	8.0	7.0	8.0	5.0	7.0	7.0	8.0
sub-1021	8.0	8.0	2.0	7.0	2.0	7.0	7.0	7.0	7.0	8.0	8.0	8.0	2.0	8.0	8.0	8.0	8.0	3.0	8.0	8.0	8.0
