participant_id	ios_computer
sub-1001	1.0
sub-1002	n/a
sub-1003	n/a
sub-1004	2.0
sub-1006	2.0
sub-1007	n/a
sub-1009	1.0
sub-1010	n/a
sub-1011	n/a
sub-1012	1.0
sub-1013	2.0
sub-1015	n/a
sub-1016	n/a
sub-1019	n/a
sub-1021	1.0
sub-1240	1.0
sub-1242	1.0
sub-1243	1.0
sub-1244	1.0
sub-1245	1.0
sub-1247	2.0
sub-1248	2.0
sub-1249	5.0
sub-1251	n/a
sub-1253	2.0
sub-1255	n/a
sub-1276	1.0
sub-1282	2.0
sub-1286	1.0
sub-1294	1.0
sub-1300	4.0
sub-1301	n/a
sub-1302	2.0
sub-1303	n/a
sub-3101	n/a
sub-3116	1.0
sub-3122	n/a
sub-3125	2.0
sub-3140	1.0
sub-3143	n/a
sub-3152	5.0
sub-3164	1.0
sub-3166	n/a
sub-3167	4.0
sub-3170	1.0
sub-3173	3.0
sub-3175	n/a
sub-3176	n/a
sub-3186	1.0
sub-3189	4.0
sub-3190	2.0
sub-3199	n/a
sub-3200	4.0
sub-3206	4.0
sub-3210	n/a
sub-3212	n/a
sub-3218	n/a
sub-3220	5.0
sub-3223	n/a
