participant_id	pnr_q1	pnr_q2	pnr_q3	pnr_q4	pnr_q5	pnr_q6	pnr_q7	pnr_q8	pnr_q9
sub-1001	1.0	1.0	4.0	1.0	2.0	3.0	4.0	4.0	4.0
sub-1002	2.0	3.0	2.0	2.0	3.0	2.0	2.0	2.0	3.0
sub-1003	2.0	2.0	5.0	3.0	2.0	2.0	5.0	5.0	3.0
sub-1004	1.0	1.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0
sub-1006	2.0	2.0	3.0	2.0	3.0	1.0	2.0	3.0	4.0
sub-1007	2.0	3.0	3.0	3.0	2.0	3.0	2.0	2.0	4.0
sub-1009	1.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0	2.0
sub-1010	3.0	4.0	4.0	2.0	2.0	4.0	5.0	2.0	5.0
sub-1011	2.0	1.0	2.0	3.0	4.0	1.0	5.0	5.0	5.0
sub-1012	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sub-1013	2.0	2.0	3.0	1.0	2.0	1.0	3.0	2.0	4.0
sub-1015	1.0	2.0	4.0	2.0	1.0	1.0	1.0	2.0	4.0
sub-1016	3.0	3.0	4.0	3.0	4.0	4.0	4.0	5.0	4.0
sub-1019	2.0	2.0	3.0	3.0	4.0	2.0	4.0	3.0	3.0
sub-1021	2.0	5.0	5.0	2.0	2.0	2.0	1.0	5.0	5.0
sub-1240	1.0	2.0	3.0	1.0	1.0	1.0	3.0	2.0	2.0
sub-1242	2.0	4.0	2.0	2.0	4.0	4.0	2.0	4.0	5.0
sub-1243	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0
sub-1244	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-1245	2.0	3.0	4.0	2.0	2.0	2.0	2.0	3.0	2.0
sub-1247	1.0	1.0	2.0	1.0	1.0	1.0	2.0	4.0	3.0
sub-1248	2.0	5.0	5.0	4.0	4.0	4.0	4.0	2.0	4.0
sub-1249	1.0	2.0	4.0	2.0	2.0	4.0	2.0	2.0	4.0
sub-1251	1.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0
sub-1253	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-1255	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-1276	3.0	4.0	4.0	2.0	1.0	3.0	2.0	3.0	4.0
sub-1282	1.0	1.0	2.0	1.0	1.0	1.0	2.0	3.0	1.0
sub-1286	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-1294	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sub-1300	4.0	3.0	3.0	4.0	3.0	2.0	2.0	2.0	4.0
sub-1301	3.0	4.0	4.0	3.0	2.0	2.0	2.0	3.0	2.0
sub-1302	1.0	1.0	2.0	3.0	2.0	4.0	3.0	4.0	4.0
sub-1303	1.0	4.0	4.0	2.0	2.0	2.0	2.0	4.0	4.0
sub-3101	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-3116	1.0	3.0	2.0	1.0	1.0	1.0	3.0	4.0	3.0
sub-3122	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sub-3125	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-3140	1.0	2.0	4.0	2.0	2.0	2.0	2.0	3.0	3.0
sub-3143	1.0	2.0	3.0	1.0	1.0	1.0	4.0	3.0	3.0
sub-3152	3.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
sub-3164	4.0	4.0	5.0	5.0	5.0	5.0	4.0	5.0	4.0
sub-3166	4.0	4.0	2.0	4.0	4.0	4.0	4.0	4.0	2.0
sub-3167	3.0	4.0	4.0	3.0	4.0	4.0	5.0	5.0	5.0
sub-3170	1.0	1.0	3.0	3.0	2.0	1.0	5.0	4.0	5.0
sub-3173	3.0	2.0	1.0	3.0	4.0	4.0	5.0	4.0	4.0
sub-3175	2.0	2.0	3.0	4.0	5.0	3.0	3.0	5.0	4.0
sub-3176	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sub-3186	3.0	4.0	4.0	3.0	3.0	2.0	2.0	2.0	3.0
sub-3189	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sub-3190	1.0	2.0	4.0	2.0	1.0	2.0	3.0	2.0	2.0
sub-3199	2.0	2.0	1.0	1.0	1.0	2.0	4.0	3.0	3.0
sub-3200	2.0	3.0	3.0	2.0	2.0	3.0	4.0	3.0	4.0
sub-3206	2.0	5.0	2.0	1.0	4.0	2.0	1.0	4.0	2.0
sub-3210	5.0	5.0	5.0	5.0	5.0	5.0	2.0	4.0	5.0
sub-3212	1.0	1.0	3.0	1.0	1.0	1.0	3.0	1.0	3.0
sub-3218	2.0	2.0	3.0	2.0	3.0	3.0	2.0	2.0	3.0
sub-3220	1.0	4.0	2.0	2.0	2.0	2.0	4.0	4.0	3.0
sub-3223	1.0	5.0	4.0	3.0	3.0	3.0	3.0	4.0	4.0
