participant_id	tei_q1	tei_q2	tei_q3	tei_q4	tei_q5	tei_q6	tei_q7	tei_q8	tei_q9	tei_q10	tei_q11	tei_q12	tei_q13	tei_q14	tei_q15	tei_q16	tei_q17	tei_q18	tei_q19	tei_q20	tei_q21	tei_q22	tei_q23	tei_q24	tei_q25	tei_q26	tei_q27	tei_q28	tei_q29	tei_q30
sub-1001	2.0	2.0	3.0	5.0	7.0	5.0	5.0	6.0	6.0	2.0	1.0	7.0	2.0	5.0	2.0	1.0	5.0	3.0	1.0	2.0	2.0	6.0	6.0	4.0	6.0	6.0	2.0	5.0	6.0	2.0
sub-1002	1.0	4.0	5.0	3.0	2.0	2.0	5.0	4.0	4.0	7.0	3.0	5.0	4.0	3.0	5.0	6.0	4.0	3.0	2.0	4.0	4.0	5.0	6.0	4.0	5.0	5.0	5.0	5.0	6.0	4.0
sub-1003	1.0	3.0	6.0	6.0	2.0	5.0	4.0	2.0	4.0	1.0	6.0	2.0	1.0	1.0	4.0	2.0	2.0	4.0	4.0	4.0	5.0	2.0	6.0	3.0	1.0	1.0	4.0	2.0	3.0	4.0
sub-1004	7.0	1.0	7.0	3.0	1.0	6.0	2.0	2.0	7.0	1.0	7.0	1.0	1.0	1.0	6.0	1.0	4.0	2.0	7.0	7.0	6.0	2.0	6.0	7.0	2.0	1.0	7.0	2.0	6.0	6.0
sub-1006	5.0	3.0	5.0	2.0	1.0	5.0	6.0	3.0	5.0	5.0	4.0	2.0	1.0	3.0	7.0	6.0	5.0	5.0	5.0	6.0	3.0	2.0	6.0	5.0	5.0	5.0	7.0	5.0	6.0	7.0
sub-1007	3.0	3.0	5.0	4.0	3.0	5.0	5.0	5.0	5.0	4.0	5.0	2.0	4.0	3.0	5.0	5.0	5.0	3.0	5.0	6.0	5.0	4.0	5.0	6.0	5.0	5.0	6.0	4.0	5.0	5.0
sub-1009	5.0	2.0	6.0	2.0	1.0	6.0	3.0	2.0	6.0	3.0	4.0	1.0	1.0	2.0	6.0	1.0	6.0	2.0	6.0	7.0	5.0	5.0	6.0	7.0	4.0	3.0	7.0	1.0	5.0	5.0
sub-1010	1.0	4.0	5.0	7.0	5.0	3.0	6.0	7.0	4.0	7.0	3.0	7.0	1.0	1.0	6.0	7.0	2.0	6.0	1.0	5.0	7.0	6.0	1.0	3.0	6.0	5.0	2.0	4.0	6.0	5.0
sub-1011	7.0	1.0	5.0	5.0	1.0	4.0	5.0	3.0	7.0	5.0	3.0	1.0	1.0	5.0	6.0	7.0	7.0	3.0	3.0	5.0	4.0	5.0	3.0	7.0	5.0	3.0	7.0	6.0	5.0	4.0
sub-1012	7.0	2.0	7.0	2.0	1.0	7.0	2.0	2.0	7.0	2.0	5.0	1.0	1.0	2.0	6.0	1.0	7.0	1.0	7.0	7.0	5.0	1.0	6.0	7.0	7.0	3.0	7.0	1.0	7.0	6.0
sub-1013	6.0	2.0	6.0	2.0	1.0	5.0	5.0	2.0	6.0	5.0	5.0	2.0	2.0	3.0	5.0	2.0	5.0	2.0	5.0	7.0	3.0	4.0	6.0	6.0	4.0	3.0	6.0	2.0	4.0	3.0
sub-1015	5.0	2.0	5.0	4.0	3.0	4.0	4.0	4.0	5.0	4.0	4.0	2.0	4.0	3.0	5.0	4.0	5.0	3.0	4.0	5.0	5.0	4.0	4.0	5.0	2.0	3.0	6.0	4.0	5.0	4.0
