participant_id	spsrq_1	spsrq_2	spsrq_3	spsrq_4	spsrq_5	spsrq_6	spsrq_7	spsrq_8	spsrq_9	spsrq_10	spsrq_11	spsrq_12	spsrq_13	spsrq_14	spsrq_15	spsrq_16	spsrq_17	spsrq_18	spsrq_19	spsrq_20	spsrq_21	spsrq_22	spsrq_23	spsrq_24	spsrq_25	spsrq_26	spsrq_27	spsrq_28	spsrq_29	spsrq_30	spsrq_31	spsrq_32	spsrq_33	spsrq_34	spsrq_35	spsrq_36	spsrq_37	spsrq_38	spsrq_39	spsrq_40	spsrq_41	spsrq_42	spsrq_43	spsrq_44	spsrq_45	spsrq_46	spsrq_47	spsrq_48
sub-1303	0	0	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1.0	0	0	0	1	1	1	0	1	1	1	1	0.0	1	1	1	1	1	1	0	1	1.0	1	0	1	0	0	0	0	1	0	0
sub-3101	1	1	0	1	0	0	1	1	0	1	0	0	0	0	0	1	1.0	0	0	0	1	1	1	1	1	1	1	1	n/a	0	1	1	1	1	1	0	1	0.0	0	0	1	0	1	0	1	0	1	1
sub-3116	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0.0	0	0	0	0	1	1	0	1	1	1	0	0.0	1	1	1	1	1	0	0	0	0.0	0	1	0	0	0	1	1	1	1	0
sub-3122	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0.0	1	1	0	0	1	0	0	1	1	0	0	1.0	0	1	1	1	1	0	0	0	0.0	0	1	0	1	1	1	1	1	1	1
sub-3125	0	1	0	1	0	0	0	1	1	1	1	1	1	0	0	1	0.0	1	0	0	0	1	0	1	0	1	0	0	0.0	1	0	1	0	1	0	0	0	1.0	0	0	0	1	0	1	0	1	0	1
sub-3140	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	1	0.0	0	1	0	0	1	1	0	1	1	1	0	0.0	0	1	0	1	1	0	0	1	1.0	1	1	0	0	1	0	0	0	1	0
sub-3143	1	0	1	1	1	0	0	1	0	1	0	1	1	0	1	1	0.0	0	0	0	0	1	1	0	1	1	1	0	1.0	0	1	1	1	1	0	1	1	1.0	1	1	1	0	1	0	1	1	1	0
sub-3152	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0.0	1	0	1	0	1	1	1	1	1	1	0	0.0	1	1	1	1	1	0	0	0	1.0	0	0	1	0	0	0	1	1	0	0
sub-3164	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	0.0	0	1	1	0	1	1	1	1	1	1	0	1.0	1	1	1	1	1	0	0	1	1.0	1	1	1	1	1	0	1	1	1	1
sub-3166	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1.0	1	1	0	0	0	1	0	1	1	1	0	1.0	0	0	1	1	1	1	0	0	1.0	0	0	0	1	0	0	1	0	1	0
sub-3167	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0.0	1	1	0	1	0	1	1	1	1	1	1	0.0	0	1	1	1	1	0	0	1	0.0	0	1	0	0	0	0	0	1	1	0
sub-3170	1	1	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1.0	0	1	0	0	1	1	0	1	1	1	1	1.0	0	1	1	1	1	1	1	1	0.0	1	1	1	0	1	0	1	0	1	0
sub-3173	1	1	1	0	0	1	1	0	1	0	1	0	1	0	1	0	1.0	1	0	0	1	1	1	0	1	1	0	0	1.0	1	1	1	0	1	1	1	1	1.0	0	1	1	1	0	1	0	1	0	0
sub-3175	1	1	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0.0	0	0	0	0	1	1	0	1	0	1	0	1.0	0	1	1	1	1	0	0	1	1.0	0	0	1	0	0	0	1	1	0	0
sub-3176	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	0	0.0	1	0	0	0	0	1	0	1	0	0	0	0.0	0	0	1	1	1	0	0	0	n/a	0	0	0	0	1	1	0	1	0	0
sub-3186	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1.0	1	0	1	0	1	1	1	1	1	1	1	0.0	1	1	1	1	1	0	1	1	1.0	1	1	1	0	1	1	1	1	1	0
sub-3189	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0.0	1	0	0	0	1	1	0	1	0	1	0	0.0	0	1	1	1	1	0	0	1	0.0	0	1	1	0	1	0	1	0	0	0
sub-3190	0	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	1.0	1	1	0	0	0	1	1	1	1	1	1	1.0	0	1	1	1	1	1	0	1	1.0	1	1	1	0	1	0	0	0	1	1
sub-3199	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	1	1.0	1	1	0	0	1	1	0	1	1	1	0	1.0	0	1	1	1	0	1	0	1	1.0	1	1	0	0	1	0	1	1	1	0
sub-3200	1	0	1	1	1	1	1	0	1	1	0	0	1	0	0	0	1.0	0	1	0	1	0	1	0	1	1	0	0	1.0	1	1	0	1	0	1	1	1	1.0	1	0	0	0	0	1	0	0	1	0
sub-3206	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1.0	1	1	0	0	0	1	0	1	1	0	0	1.0	1	1	1	1	1	1	0	1	1.0	1	0	0	0	0	0	0	0	1	0
sub-3210	0	1	0	1	0	1	0	0	1	0	1	0	1	1	0	0	0.0	0	0	1	0	0	1	0	1	1	0	0	0.0	1	0	1	0	1	0	0	0	1.0	0	0	0	1	0	1	0	1	0	1
sub-3212	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	1.0	0	1	0	0	0	0	0	1	0	1	0	1.0	0	1	1	0	1	0	0	1	0.0	0	0	0	0	0	1	1	0	1	0
sub-3218	0	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1.0	0	1	0	1	1	1	0	0	1	1	1	1.0	1	1	0	1	0	1	0	1	0.0	1	0	1	1	1	1	1	1	1	0
sub-3220	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	0	1.0	0	1	0	0	1	0	0	1	1	1	1	1.0	1	1	0	1	1	1	0	1	1.0	0	1	1	0	0	1	0	0	1	0
sub-3223	1	1	1	1	0	0	0	0	1	1	0	1	1	1	0	0	1.0	0	1	0	0	1	1	0	1	1	0	0	0.0	1	1	1	1	1	0	0	1	1.0	0	0	0	0	1	0	1	1	1	0
